COD_DISCIPLINA;NOME_DISCIPLINA;COD_TURMA;VAGAS_OFERECIDAS;DIA_SEMANA;HR_INICIO;HR_FIM;TIPO_AULA;COD_CURSO;NOME_DEPTO;PERIODO

Bmed001;Seminários em Biomedicina I;A;35;3ª feira;11:30:00;12:30:00;Teórica;46A;Coordenação do Curso de Biomedicina;1o. Semestre de 2017
Bmed003;Seminários em Biomedicina III;A;35;3ª feira;11:30:00;12:30:00;Teórica;46A;Coordenação do Curso de Biomedicina;1o. Semestre de 2017
Bmed005;Trabalho de Conclusão de Curso I;A;30;;;;;46A;Coordenação do Curso de Biomedicina;1o. Semestre de 2017
Bmed006;Trabalho de Conclusão de Curso II;A;20;;;;;46A;Coordenação do Curso de Biomedicina;1o. Semestre de 2017
Bmed007;Estágio Supervisionado I;A;30;;;;;46A;Coordenação do Curso de Biomedicina;1o. Semestre de 2017
Bmed008;Estágio Supervisionado II;A;20;;;;;46A;Coordenação do Curso de Biomedicina;1o. Semestre de 2017
Bmed009;Representação e Análise de Dados e Fenômenos I;AC;25;6ª feira;13:30:00;15:30:00;Teórica;46A;Coordenação do Curso de Biomedicina;1o. Semestre de 2017
Bmed009;Representação e Análise de Dados e Fenômenos I;AC;25;6ª feira;15:30:00;17:30:00;Prática;46A;Coordenação do Curso de Biomedicina;1o. Semestre de 2017
Bmed009;Representação e Análise de Dados e Fenômenos I;BC;25;6ª feira;13:30:00;15:30:00;Teórica;46A;Coordenação do Curso de Biomedicina;1o. Semestre de 2017
Bmed009;Representação e Análise de Dados e Fenômenos I;BC;25;6ª feira;15:30:00;17:30:00;Prática;46A;Coordenação do Curso de Biomedicina;1o. Semestre de 2017
Bmed010;Iniciação à Pesquisa I;BA;5;6ª feira;13:30:00;15:30:00;Teórica;46A;Coordenação do Curso de Biomedicina;1o. Semestre de 2017
Bmed010;Iniciação à Pesquisa I;BA;5;6ª feira;15:30:00;17:30:00;Prática;46A;Coordenação do Curso de Biomedicina;1o. Semestre de 2017
Bmed010;Iniciação à Pesquisa I;BF;8;6ª feira;13:30:00;15:30:00;Teórica;46A;Coordenação do Curso de Biomedicina;1o. Semestre de 2017
Bmed010;Iniciação à Pesquisa I;BF;8;6ª feira;15:30:00;17:30:00;Prática;46A;Coordenação do Curso de Biomedicina;1o. Semestre de 2017
Bmed010;Iniciação à Pesquisa I;BG;5;6ª feira;13:30:00;15:30:00;Teórica;46A;Coordenação do Curso de Biomedicina;1o. Semestre de 2017
Bmed010;Iniciação à Pesquisa I;BG;5;6ª feira;15:30:00;17:30:00;Prática;46A;Coordenação do Curso de Biomedicina;1o. Semestre de 2017
Bmed010;Iniciação à Pesquisa I;BP;8;6ª feira;13:30:00;15:30:00;Teórica;46A;Coordenação do Curso de Biomedicina;1o. Semestre de 2017
Bmed010;Iniciação à Pesquisa I;BP;8;6ª feira;15:30:00;17:30:00;Prática;46A;Coordenação do Curso de Biomedicina;1o. Semestre de 2017
Bmed010;Iniciação à Pesquisa I;BT;5;6ª feira;13:30:00;15:30:00;Teórica;46A;Coordenação do Curso de Biomedicina;1o. Semestre de 2017
Bmed010;Iniciação à Pesquisa I;BT;5;6ª feira;15:30:00;17:30:00;Prática;46A;Coordenação do Curso de Biomedicina;1o. Semestre de 2017
Bmed012;Iniciação à Pesquisa III;BA;5;6ª feira;13:30:00;15:30:00;Teórica;46A;Coordenação do Curso de Biomedicina;1o. Semestre de 2017
Bmed012;Iniciação à Pesquisa III;BA;5;6ª feira;15:30:00;17:30:00;Prática;46A;Coordenação do Curso de Biomedicina;1o. Semestre de 2017
Bmed012;Iniciação à Pesquisa III;BF;7;6ª feira;13:30:00;15:30:00;Teórica;46A;Coordenação do Curso de Biomedicina;1o. Semestre de 2017
Bmed012;Iniciação à Pesquisa III;BF;7;6ª feira;15:30:00;17:30:00;Prática;46A;Coordenação do Curso de Biomedicina;1o. Semestre de 2017
Bmed012;Iniciação à Pesquisa III;BG;5;6ª feira;13:30:00;15:30:00;Teórica;46A;Coordenação do Curso de Biomedicina;1o. Semestre de 2017
Bmed012;Iniciação à Pesquisa III;BG;5;6ª feira;15:30:00;17:30:00;Prática;46A;Coordenação do Curso de Biomedicina;1o. Semestre de 2017
Bmed012;Iniciação à Pesquisa III;BP;7;6ª feira;13:30:00;15:30:00;Teórica;46A;Coordenação do Curso de Biomedicina;1o. Semestre de 2017
Bmed012;Iniciação à Pesquisa III;BP;7;6ª feira;15:30:00;17:30:00;Prática;46A;Coordenação do Curso de Biomedicina;1o. Semestre de 2017
Bmed012;Iniciação à Pesquisa III;BT;5;6ª feira;13:30:00;15:30:00;Teórica;46A;Coordenação do Curso de Biomedicina;1o. Semestre de 2017
Bmed012;Iniciação à Pesquisa III;BT;5;6ª feira;15:30:00;17:30:00;Prática;46A;Coordenação do Curso de Biomedicina;1o. Semestre de 2017
Bmed015;Ação Educativa em Biomedicina I;A;17;4ª feira;13:30:00;15:30:00;Teórica;46A;Coordenação do Curso de Biomedicina;1o. Semestre de 2017
Bmed015;Ação Educativa em Biomedicina I;A;17;4ª feira;15:30:00;17:30:00;Prática;46A;Coordenação do Curso de Biomedicina;1o. Semestre de 2017
Bmed015;Ação Educativa em Biomedicina I;B;18;4ª feira;13:30:00;15:30:00;Teórica;46A;Coordenação do Curso de Biomedicina;1o. Semestre de 2017
Bmed015;Ação Educativa em Biomedicina I;B;18;4ª feira;15:30:00;17:30:00;Prática;46A;Coordenação do Curso de Biomedicina;1o. Semestre de 2017
Bmed017;Bioética;A;35;3ª feira;14:30:00;17:30:00;Teórica;46A;Coordenação do Curso de Biomedicina;1o. Semestre de 2017
BIO005;Biologia Celular e Farmacologia;M1C;25;4ª feira;07:30:00;10:30:00;Teórica;31C;Coordenação do Curso de Ciências Biológicas;1o. Semestre de 2017
BIO005;Biologia Celular e Farmacologia;M1C;25;2ª feira;09:30:00;10:30:00;Teórica;31C;Coordenação do Curso de Ciências Biológicas;1o. Semestre de 2017
BIO005;Biologia Celular e Farmacologia;M1C;25;2ª feira;10:30:00;12:30:00;Prática;31C;Coordenação do Curso de Ciências Biológicas;1o. Semestre de 2017
BIO005;Biologia Celular e Farmacologia;M2C;25;4ª feira;07:30:00;10:30:00;Teórica;31C;Coordenação do Curso de Ciências Biológicas;1o. Semestre de 2017
BIO005;Biologia Celular e Farmacologia;M2C;25;2ª feira;09:30:00;10:30:00;Teórica;31C;Coordenação do Curso de Ciências Biológicas;1o. Semestre de 2017
BIO005;Biologia Celular e Farmacologia;M2C;25;2ª feira;10:30:00;12:30:00;Prática;31C;Coordenação do Curso de Ciências Biológicas;1o. Semestre de 2017
BIO005;Biologia Celular e Farmacologia;M3C;24;4ª feira;07:30:00;10:30:00;Teórica;31C;Coordenação do Curso de Ciências Biológicas;1o. Semestre de 2017
BIO005;Biologia Celular e Farmacologia;M3C;24;2ª feira;09:30:00;10:30:00;Teórica;31C;Coordenação do Curso de Ciências Biológicas;1o. Semestre de 2017
BIO005;Biologia Celular e Farmacologia;M3C;24;2ª feira;10:30:00;12:30:00;Prática;31C;Coordenação do Curso de Ciências Biológicas;1o. Semestre de 2017
BIO005;Biologia Celular e Farmacologia;N1C;31;5ª feira;18:30:00;20:30:00;Prática;45C;Coordenação do Curso de Ciências Biológicas;1o. Semestre de 2017
BIO005;Biologia Celular e Farmacologia;N1C;31;2ª feira;20:30:00;21:30:00;Teórica;45C;Coordenação do Curso de Ciências Biológicas;1o. Semestre de 2017
BIO005;Biologia Celular e Farmacologia;N1C;31;5ª feira;20:30:00;21:30:00;Teórica;45C;Coordenação do Curso de Ciências Biológicas;1o. Semestre de 2017
BIO005;Biologia Celular e Farmacologia;N1C;31;2ª feira;21:30:00;23:30:00;Teórica;45C;Coordenação do Curso de Ciências Biológicas;1o. Semestre de 2017
BIO005;Biologia Celular e Farmacologia;N2C;31;5ª feira;18:30:00;20:30:00;Prática;45C;Coordenação do Curso de Ciências Biológicas;1o. Semestre de 2017
BIO005;Biologia Celular e Farmacologia;N2C;31;5ª feira;20:30:00;21:30:00;Teórica;45C;Coordenação do Curso de Ciências Biológicas;1o. Semestre de 2017
BIO005;Biologia Celular e Farmacologia;N2C;31;2ª feira;20:30:00;21:30:00;Teórica;45C;Coordenação do Curso de Ciências Biológicas;1o. Semestre de 2017
BIO005;Biologia Celular e Farmacologia;N2C;31;2ª feira;21:30:00;23:30:00;Teórica;45C;Coordenação do Curso de Ciências Biológicas;1o. Semestre de 2017
BIO005;Biologia Celular e Farmacologia;N3C;31;5ª feira;18:30:00;20:30:00;Prática;45C;Coordenação do Curso de Ciências Biológicas;1o. Semestre de 2017
BIO005;Biologia Celular e Farmacologia;N3C;31;5ª feira;20:30:00;21:30:00;Teórica;45C;Coordenação do Curso de Ciências Biológicas;1o. Semestre de 2017
BIO005;Biologia Celular e Farmacologia;N3C;31;2ª feira;20:30:00;21:30:00;Teórica;45C;Coordenação do Curso de Ciências Biológicas;1o. Semestre de 2017
BIO005;Biologia Celular e Farmacologia;N3C;31;2ª feira;21:30:00;23:30:00;Teórica;45C;Coordenação do Curso de Ciências Biológicas;1o. Semestre de 2017
